Language,Project,Special_Project,Files,Tokens,Lines,Functions,Classes,Total_Imports,Standard_Imports,Cross_File_Imports,Intra_File_Dependencies
JavaScript,indutny_node-ip,No,7,5583,513,0,0,10,4,6,609
JavaScript,epoberezkin_fast-deep-equal,No,12,6462,597,62,6,17,2,15,583
JavaScript,hokaccha_node-jwt-simple,No,6,4679,431,84,1,17,5,12,411
JavaScript,danielktaylor_fabric-js-editor,No,14,19086,2466,454,1,42,1,41,1179
JavaScript,foradian_fluxday,No,3,606,78,6,0,2,0,2,72
JavaScript,fbeline_design-patterns-JS,No,102,13959,2130,425,127,85,2,83,1170
JavaScript,lovell_farmhash,No,6,5771,627,77,0,11,0,11,562
JavaScript,component_escape-html,No,5,1440,176,10,0,6,0,6,114
JavaScript,danielstjules_pjs,No,9,2062,231,58,0,19,3,16,212
JavaScript,aackerman_circular-dependency-plugin,No,23,4857,623,42,1,19,2,17,285
JavaScript,dominictarr_event-stream,No,22,11451,1439,289,0,81,9,72,882
JavaScript,apparatus_fuge,No,29,7061,857,207,0,46,6,40,506
JavaScript,jsdoc2md_jsdoc-parse,No,9,2558,272,7,0,14,1,13,179
JavaScript,jamestalmage_s3-static-site-uploader,No,39,18579,2095,427,10,86,9,77,1534
JavaScript,gf3_Levenshtein,No,3,1928,173,10,0,2,0,2,190
JavaScript,fed135_Kalm,No,41,19291,2807,349,13,123,24,99,1305
JavaScript,krasimir_webpack-library-starter,No,15,1902,232,7,5,20,1,19,155
JavaScript,domchristie_humps,No,4,6181,680,167,0,6,0,6,369
JavaScript,Jxck_html2json,No,8,5743,811,64,1,9,1,8,258
JavaScript,colorjs_color-namer,No,4,1774,182,5,0,12,0,12,205
JavaScript,expressjs_express-paginate,No,5,5753,571,116,0,18,4,14,459
JavaScript,assertible_lambda-cloudwatch-slack,No,8,4039,427,15,0,15,3,12,282
JavaScript,dwyl_learn-redis,No,9,2267,307,11,0,13,5,8,261
JavaScript,bevacqua_insane,No,21,10553,1092,135,3,34,1,33,795
JavaScript,creationix_step,No,14,4084,566,157,11,18,2,16,362
JavaScript,kristerkari_react-native-svg-transformer,No,10,2645,296,8,0,14,1,13,206
JavaScript,koajs_static,No,7,7264,988,148,0,28,5,23,822
JavaScript,bitcoinjs_bip39,No,19,10932,1033,194,0,76,16,60,696
JavaScript,brandonbloom_jseg,No,24,12376,2009,152,9,63,1,62,560
JavaScript,bevacqua_fuzzysearch,No,5,1505,134,7,0,6,0,6,146
JavaScript,amio_micro-fork,No,5,2903,263,16,0,16,4,12,205
JavaScript,jonschlinkert_get-value,No,49,25530,2461,221,8,55,1,54,1476
JavaScript,Alex-D_Cookies-EU-banner,No,6,6031,645,74,0,11,0,11,486
JavaScript,Ealenn_Echo-Server,No,39,10142,1405,251,0,106,4,102,1017
JavaScript,jaydenseric_apollo-upload-client,No,13,2247,233,30,0,13,0,13,78
JavaScript,KilledByAPixel_JSONCrush,No,4,2495,137,9,0,3,0,3,99
JavaScript,jaredhanson_passport,No,35,53138,6977,2189,2,84,0,84,4899
JavaScript,bjankord_stylelint-config-sass-guidelines,No,87,25585,3477,63,2,269,0,269,1356
JavaScript,d3_d3-polygon,No,18,23513,2470,416,7,39,6,33,1358
JavaScript,DiegoZoracKy_convert-excel-to-json,No,7,12725,1126,174,0,31,16,15,636
JavaScript,LogRocket_redux-logger,No,15,7733,880,80,0,22,0,22,571
JavaScript,alexa-samples_skill-sample-nodejs-fact,No,12,6145,699,32,0,18,2,16,382
JavaScript,Gozala_querystring,No,10,5889,508,45,1,15,0,15,314
JavaScript,baer_pint,No,17,3509,404,50,0,45,7,38,341
JavaScript,lessfish_leetcode,No,370,85907,11137,1694,3,12,1,11,1748
JavaScript,florianheinemann_passwordless,No,53,37867,3595,756,7,214,6,208,3388
JavaScript,focusaurus_express_code_structure,No,18,2573,308,40,0,35,1,34,214
JavaScript,krissrex_google-authenticator-exporter,No,6,5147,556,45,0,14,5,9,399
JavaScript,latitudegames_GPT-3-Encoder,No,6,2763,324,25,0,6,2,4,276
JavaScript,flatiron_flatiron,No,21,3425,431,46,0,39,13,26,273
JavaScript,ded_express-limiter,No,4,4960,577,87,0,18,0,18,380
JavaScript,igorpavlov-zz_spellfucker,No,8,3691,376,21,0,8,0,8,274
JavaScript,jeromeetienne_MicroCache.js,No,3,1306,147,14,0,2,0,2,158
JavaScript,jshttp_http-errors,No,8,8508,1008,177,2,23,6,17,685
JavaScript,erikdubbelboer_node-sleep,No,6,3404,399,82,0,10,2,8,226
JavaScript,localstack_aws-cdk-local,No,4,3790,405,11,1,2,0,2,249
JavaScript,drenther_js-design-patterns,No,44,9739,1231,188,43,29,0,29,758
JavaScript,aholstenson_miio,No,26,7968,1000,85,0,48,10,38,605
JavaScript,elierotenberg_react-prepare,No,14,5592,769,62,8,49,1,48,307
JavaScript,benface_tailwindcss-transforms,No,7,2024,213,11,0,4,0,4,143
JavaScript,brigand_react-mixin,No,12,816074,17919,2388,49,181,0,181,3245
JavaScript,auth0_express-jwt-authz,No,4,3229,335,41,0,8,0,8,255
JavaScript,bripkens_connect-history-api-fallback,No,7,4643,575,39,0,13,3,10,308
JavaScript,arithmetric_aws-lambda-ses-forwarder,No,11,8037,1184,135,0,26,3,23,355
JavaScript,brianloveswords_buffer-crc32,No,7,5939,442,69,0,8,0,8,338
JavaScript,benawad_gen-env-types,No,9,23062,2549,414,7,11,5,6,1585
JavaScript,fullscale_dangle,No,22,3003,364,18,0,14,0,14,219
JavaScript,dat-ecosystem-archive_discovery-channel,No,8,5007,519,68,0,24,4,20,406
JavaScript,juliangruber_multipipe,No,3,3668,543,28,0,11,3,8,393
JavaScript,claytongulick_bit-sync,No,4,6611,606,56,0,3,1,2,427
JavaScript,developit_dlv,No,4,2890,231,4,0,2,0,2,326
JavaScript,ethereon_netscope,No,3,16493,1926,396,5,12,0,12,541
JavaScript,auth0_node-jws,No,5,4826,520,66,0,14,2,12,360
JavaScript,koajs_route,No,9,4727,538,25,0,19,0,19,474
JavaScript,jaredhanson_passport-google-oauth,No,3,1076,102,28,0,5,2,3,67
JavaScript,graphql_dataloader,No,16,24102,3001,109,3,14,2,12,1397
JavaScript,indutny_fft.js,No,8,5536,620,53,0,16,1,15,425
JavaScript,auth0_node-jsonwebtoken,No,39,38245,3940,651,0,163,33,130,2492
JavaScript,duereg_js-algorithms,No,56,19574,2333,16,2,82,0,82,2132
JavaScript,expressjs_morgan,No,6,18460,2277,431,1,23,10,13,1538
JavaScript,hapijs_catbox,No,10,19241,2216,240,0,31,0,31,1482
JavaScript,Kreijstal_JavaScript-functions,No,39,67765,6281,1225,14,35,0,35,1676
JavaScript,chenhuiYj_ec-css,No,4,3435,316,22,0,5,0,5,314
JavaScript,elebetsamer_bootstrap-snippets-visual-studio,No,3,3890,579,31,0,17,6,11,229
JavaScript,arqex_freezer,No,39,29640,3519,683,1,71,1,70,2456
JavaScript,benface_tailwindcss-animations,No,2,9331,1464,18,0,7,0,7,245
JavaScript,airportyh_word-count,No,17,10797,1186,165,12,29,21,8,654
JavaScript,alexwforsythe_code-blocks,No,10,7383,982,141,2,8,0,8,446
JavaScript,anton-bot_objects-to-csv,No,3,1714,172,5,0,2,0,2,125
JavaScript,danharper_Handlebars-Helpers,No,4,5055,473,79,0,9,0,9,462
JavaScript,frameable_el,No,6,6857,759,104,30,14,0,14,483
JavaScript,inspect-js_node-deep-equal,No,15,16982,1869,254,4,55,0,55,1043
JavaScript,aMarCruz_rollup-plugin-cleanup,No,37,11917,1386,192,3,32,6,26,630
JavaScript,francisrstokes_super-expressive,No,4,4710,499,7,0,2,0,2,530
JavaScript,denghongcai_forsaken-mail,No,11,2685,320,26,2,24,6,18,243
JavaScript,dmitry-lavrik_smart-grid,No,3,800,104,10,0,2,0,2,103
JavaScript,Anstinus_lazy-linq,No,13,60935,6659,1307,30,19,0,19,3117
JavaScript,jamiebuilds_the-super-tiny-compiler,No,6,12623,1363,34,0,4,0,4,228
JavaScript,ericclemmons_if-env,No,3,1307,120,20,0,7,5,2,90
JavaScript,donatj_CsvToMarkdownTable,No,6,2604,214,38,0,8,1,7,97
JavaScript,brehaut_color-js,No,4,13401,1188,231,4,7,0,7,710
JavaScript,ConciseCSS_concise.css,No,11,3911,422,10,0,42,12,30,337
JavaScript,jshttp_statuses,No,10,4802,549,87,0,31,12,19,505
JavaScript,bvic23_babel-plugin-functional-hmr,No,1,447,57,0,0,4,2,2,54
JavaScript,fantasyland_fantasy-land,No,5,2001,194,6,0,8,4,4,106
JavaScript,herbsjs_herbs,No,9,2724,376,9,0,20,0,20,158
JavaScript,css-modules_postcss-icss-selectors,No,4,1226,175,3,0,5,0,5,71
JavaScript,eslint_doctrine,No,11,33863,4149,336,2,31,20,11,1801
JavaScript,clarkie_dynogels,No,43,62857,7498,133,0,169,8,161,4609
JavaScript,gruntjs_grunt-contrib-htmlmin,No,5,3464,381,22,0,11,4,7,211
JavaScript,foyzulkarim_ip-camera-browser-client,No,3,796,76,6,0,2,0,2,79
JavaScript,expressjs_express-expose,No,11,4893,556,104,0,24,4,20,392
JavaScript,gulpjs_findup-sync,No,6,5957,622,81,0,24,9,15,579
JavaScript,koajs_cors,No,3,5637,562,39,0,3,0,3,446
JavaScript,JacksonTian_diveintonode_examples,No,90,15239,1962,392,2,110,91,19,1106
JavaScript,ikr_money-math,No,7,6790,603,116,0,11,1,10,762
JavaScript,captbaritone_raven-for-redux,No,6,4072,451,15,0,8,1,7,286
JavaScript,camwiegert_typical,No,4,2984,346,44,0,6,0,6,258
JavaScript,briancavalier_creed,No,104,40391,5251,695,27,311,4,307,3493
JavaScript,creationix_js-git,No,38,26928,3189,770,6,96,7,89,1692
JavaScript,airbnb_polyglot.js,No,9,18081,1538,251,0,20,0,20,1353
JavaScript,careercup_CtCI-6th-Edition-JavaScript-ES2015,No,93,36053,4161,710,26,113,0,113,1916
JavaScript,githubocto_repo-visualizer,No,15,255356,28917,5639,216,55,19,36,9197
JavaScript,apache_cordova-plugin-whitelist,No,12,5347,573,39,1,13,6,7,310
Python,OilerNetwork_fossil_cairo0,No,41,90642,4333,396,33,451,62,389,2450
Python,asciimoo_drawille,No,16,12344,1317,86,7,116,39,77,549
Python,signalfx_maestro-ng,No,26,44969,4787,410,90,169,69,100,2109
Python,scrapy_parsel,No,21,29884,3084,32,35,185,40,145,1537
Python,BBuf_onnx_learn,No,12,1469,158,35,9,24,1,23,162
Python,kevinburke_hamms,No,21,2197,249,31,1,43,6,37,57
Python,trezor_python-mnemonic,No,7,5598,527,46,4,39,13,26,298
Python,tylerlaberge_PyPattyrn,No,57,22147,2782,378,175,166,26,140,1392
Python,HuobiRDCenter_huobi_Python,No,436,120079,11368,967,341,2196,62,2134,4493
Python,sbidy_pywizlight,No,51,40373,4058,50,24,384,77,307,1277
Python,vimalloc_flask-jwt-extended,No,66,58240,6157,419,18,696,45,651,2683
Python,swansonk14_p_tqdm,No,8,4090,412,44,12,38,6,32,157
Python,tartley_colorama,No,35,20653,2081,208,25,189,41,148,1036
Python,nickstenning_honcho,No,54,27634,3128,307,41,213,58,155,1290
Python,pavlov99_json-rpc,No,43,39583,4221,485,84,255,62,193,2183
Python,ai-forever_gigachat,No,136,50477,5200,38,72,903,114,789,1754
Python,rust-lang_homu,No,21,27848,3146,148,18,116,37,79,1187
Python,picklepete_pyicloud,No,33,48484,5780,280,38,182,47,135,1017
Python,RedisGraph_redisgraph-py,No,27,16392,1732,155,23,103,8,95,959
Python,navdeep-G_showme,No,17,3236,380,43,3,61,23,38,129
Python,bdarnell_plop,No,19,9064,1023,139,40,109,40,69,550
Python,scrapinghub_adblockparser,No,14,9042,910,57,3,53,10,43,214
Python,pre-commit_pre-commit-hooks,No,85,41524,4401,233,9,593,228,365,1869
Python,jimmc414_onefilellm,No,7,45369,4021,201,36,151,56,95,1880
Python,ubisoft_ubisoft-laforge-animation-dataset,No,13,8731,622,53,1,43,15,28,356
Python,python-babel_flask-babel,No,21,15484,1640,146,6,78,10,68,798
Python,stephenmcd_django-forms-builder,No,33,18824,1972,97,31,282,39,243,824
Python,aadhithya_rajiniPP,No,40,8527,1051,158,57,136,12,124,486
Python,owncloud_pyocclient,No,8,19217,1904,159,22,30,16,14,1242
Python,PaulSec_API-dnsdumpster.com,No,8,3286,321,24,3,26,7,19,116
Python,venthur_gscholar,No,13,6799,696,91,8,54,26,28,258
Python,andreroggeri_pynubank,No,39,15579,1470,170,17,230,34,196,791
Python,trailofbits_protofuzz,No,18,3284,357,52,17,31,4,27,133
Python,kennethreitz_records,No,17,10506,1144,149,19,55,15,40,748
Python,mgedmin_check-manifest,No,6,26011,2729,269,37,98,37,61,1608
Python,trent-b_iterative-stratification,No,10,7601,606,51,7,35,4,31,240
Python,rdegges_django-heroku-memcacheify,No,5,5465,471,31,1,19,7,12,184
Python,thomasa88_ParametricText,No,10,17969,1615,102,12,45,17,28,687
Python,djui_alias-tips,No,3,973,85,9,2,4,0,4,89
Python,gregmalcolm_python_koans,No,81,39113,4209,645,142,194,44,150,2198
Python,olzhasar_pytest-watcher,No,39,9402,1130,98,20,218,40,178,480
Python,seatgeek_fuzzywuzzy,No,18,17540,1663,153,13,119,32,87,724
Python,Torantulino_AI-Functions,No,4,1191,125,29,4,5,0,5,49
Python,alingse_jsoncsv,No,23,11276,1176,111,14,116,37,79,597
Python,mattupstate_overholt,No,54,15840,1803,165,43,244,16,228,838
Python,wesbarnett_snap-pac,No,6,6676,644,51,5,43,24,19,276
Python,piskvorky_sqlitedict,No,20,13102,1380,133,14,89,45,44,628
Python,quora_qcore,No,63,58974,6461,642,163,291,69,222,3553
Python,eatonphil_pj,No,13,5157,550,96,8,26,0,26,361
Python,wxy2077_fastapi-mysql-generator,No,42,15701,1684,56,29,224,37,187,514
Python,rbarrois_xworkflows,No,18,26251,2897,344,157,63,16,47,1417
Python,NaturalHistoryMuseum_pyzbar,No,32,9953,1066,68,17,121,33,88,404
Python,vi3k6i5_flashtext,No,35,19325,2071,142,33,157,57,100,807
Python,hugsy_cemu,No,55,45596,5163,211,86,449,88,361,2011
Python,tadeck_onetimepass,No,9,7017,682,33,1,27,11,16,144
Python,scastillo_siesta,No,10,4321,498,86,18,35,8,27,314
Python,syrusakbary_aiodataloader,No,5,8141,835,93,1,40,15,25,413
Python,nathanrooy_particle-swarm-optimization,No,10,3841,355,38,1,33,15,18,130
Python,un33k_django-uuslug,No,22,7675,704,68,20,72,15,57,338
Python,RicherMans_PLDA,No,17,9050,871,60,10,91,26,65,462
Python,madisona_django-google-maps,No,29,7446,748,73,28,109,6,103,298
Python,rveachkc_pymsteams,No,5,5021,504,71,10,26,10,16,235
Python,Bouke_docx-mailmerge,No,16,33402,922,48,14,104,22,82,431
Python,toxinu_requirements,No,6,6221,626,57,4,36,13,23,348
Python,peritus_bumpversion,No,21,11105,1179,134,21,73,22,51,623
Python,rbgirshick_yacs,No,10,9045,966,66,6,36,11,25,390
Python,saadmk11_django-newsfeed,No,35,16650,2096,150,47,186,13,173,988
Python,PacktPublishing_Python-3-Object-Oriented-Programming-Third-Edition,No,125,28995,3637,504,168,241,128,113,1789
Python,tiangolo_meinheld-gunicorn-flask-docker,No,10,4185,468,85,10,38,16,22,245
Python,kbialek_deye-inverter-mqtt,No,63,82553,8403,277,98,455,75,380,2651
Python,cloudconvert_cloudconvert-python,No,42,14121,1492,160,49,135,42,93,604
Python,n0fate_chainbreaker,No,17,11540,1007,70,30,50,25,25,312
Python,pallets_itsdangerous,No,24,13463,1362,68,19,157,38,119,439
Python,nickjj_ansible-docker,No,6,3377,327,72,10,20,9,11,197
Python,jtsang4_claude-to-chatgpt,No,17,5885,624,55,7,68,12,56,190
Python,mapio_GraphvizAnim,No,17,7258,735,87,17,79,15,64,371
Python,melvinkcx_fastapi-events,No,52,17707,1998,162,40,350,71,279,709
Python,pyga_parsley,No,68,140075,11969,1462,141,299,33,266,7648
Python,socialwifi_RouterOS-api,No,37,17092,1837,283,79,153,18,135,1127
Python,martin-majlis_Wikipedia-API,No,32,25944,2692,138,15,92,11,81,743
Python,mherrmann_gitignore_parser,No,5,6210,650,49,3,35,11,24,537
Python,racwn_wp-file-analyser,No,8,9686,870,92,10,44,22,22,498
Python,NayakwadiS_mftool,No,12,7788,751,49,9,41,7,34,343
Python,TypeError_secure,No,33,25565,2632,120,38,224,32,192,919
Python,serkanyersen_underscore.py,No,19,1429,168,30,0,67,33,34,111
Python,ecmwf-lab_ai-models,No,31,18129,2053,167,28,203,71,132,857
Python,orcasgit_django-fernet-fields,No,16,4583,506,22,10,54,11,43,130
Python,myusuf3_delorean,No,15,23639,1984,210,7,99,13,86,1082
Python,tomasbasham_ratelimit,No,24,5676,675,88,5,88,19,69,287
Python,unitedstates_python-us,No,11,12513,1587,53,1,36,12,24,229
Python,zqqqqz2000_shshsh,No,37,11161,1350,142,9,136,31,105,540
Python,tusen-ai_MV2D,No,146,224044,21018,425,70,776,136,640,4711
Python,thebjorn_pydeps,No,61,87888,9754,597,48,430,172,258,3133
Python,whonore_Coqtail,No,17,49461,5241,59,41,129,63,66,1515
Python,scrapy-plugins_scrapy-jsonrpc,No,14,5419,556,80,27,56,17,39,288
Python,mardix_flask-recaptcha,No,8,3790,413,48,20,38,12,26,149
Python,wbolster_jsonlines,No,12,12993,1463,61,12,59,27,32,617
Python,powergo_pytracking,No,17,13508,1391,89,5,65,16,49,399
Python,nateshmbhat_pyttsx3,No,24,21998,2266,118,26,93,30,63,738
Python,snoack_python-goto,No,6,4633,525,80,8,22,11,11,211
Python,navdeep-G_samplemod,No,13,2798,304,20,4,30,5,25,64
Python,tonyo_pyope,No,22,9182,858,99,18,71,16,55,411
Python,JoshData_pdf-redactor,No,15,12402,1240,68,16,71,29,42,417
Python,google_latexify_py,No,67,66161,6724,130,32,355,117,238,2881
Python,pypa_sampleproject,No,10,2362,248,32,3,31,21,10,115
Python,Shpota_github-activity-generator,No,3,3281,328,22,2,23,15,8,137
Python,vijos_jd4,No,29,19843,2072,258,41,270,73,197,1269
Python,seemoo-lab_openwifipass,No,26,11400,1102,152,26,83,15,68,575
Python,GoogleCloudPlatform_localllm,No,17,8482,845,86,9,75,28,47,360
Python,jmespath_jmespath.py,No,38,24621,2648,336,29,145,41,104,1204
Python,viralogic_py-enumerable,No,25,20543,2244,117,20,96,22,74,1169
Python,realpython_codetiming,No,9,7960,859,44,8,46,18,28,513
Python,Medium_medium-sdk-python,No,5,3789,389,25,3,25,9,16,96
Python,supersaiyanmode_PyWebOSTV,No,18,18025,2015,199,33,120,44,76,965
Python,SmileyChris_easy-thumbnails,No,89,59702,5995,391,98,500,58,442,2320
Python,oskvr37_tiddl,No,37,21562,2591,129,74,291,50,241,863
Python,macbre_sql-metadata,No,39,54634,5701,190,6,130,11,119,1219
Python,stjordanis_betterprompt,No,10,2620,241,39,11,22,9,13,101
Python,mwilliamson_python-mammoth,No,100,82147,8107,983,104,484,73,411,4826
Python,RDFLib_rdflib-jsonld,No,9,3330,315,15,0,24,16,8,55
Python,venmo_business-rules,No,23,15577,1565,222,43,141,8,133,1101
Python,os_slacker,No,13,11691,1382,195,52,42,6,36,606
Python,ramonhagenaars_jsons,No,125,62784,6560,453,224,791,169,622,2766
Python,angeloc_s3-pit-restore,No,7,1935,185,12,0,21,17,4,67
Python,facebookarchive_sparts,No,100,66609,7181,825,157,567,129,438,3479
Python,LanceGin_haishoku,No,25,7135,680,66,7,72,26,46,259
Python,oxsecurity_MaskerLogger,No,21,4814,472,65,22,75,23,52,320
Python,renatopp_liac-arff,No,45,32252,3572,218,74,159,58,101,1289
Python,OthersideAI_chronology,No,12,1911,147,29,0,27,13,14,98
Python,NotHarshhaa_into-the-devops,No,6,3739,447,35,8,17,10,7,177
Python,arthepsy_ssh-audit,No,20,45827,3708,301,44,41,14,27,2082
Python,sethmlarson_secure-python-package-template,No,6,1183,116,16,0,22,12,10,36
Python,spotify_pythonflow,No,24,24773,2859,273,23,125,61,64,1285
Python,sibson_redbeat,No,25,17707,1796,169,36,180,27,153,952
Python,alastair_python-musicbrainzngs,No,40,50266,4180,384,56,209,60,149,1885
Python,rgri_tex2nix,No,6,3497,368,31,2,25,18,7,136
Python,wroberts_pytimeparse,No,15,14278,1238,105,1,71,28,43,712
Python,python-cas_python-cas,No,14,11736,1087,90,8,46,12,34,283
Python,maxcountryman_flask-login,No,18,24577,2585,307,30,193,19,174,1393
Python,requests_requests-oauthlib,No,33,31525,3169,196,34,224,49,175,1171
Python,zaproxy_zap-api-python,No,55,72985,6418,770,45,171,12,159,3052
Python,clarkduvall_serpy,No,17,8101,841,54,47,79,12,67,334
Python,jmespath_jp,No,3,1153,132,20,1,10,4,6,75
Python,mCodingLLC_SlapThatLikeButton-TestingStarterProject,No,9,2263,225,31,1,14,2,12,103
Python,rpkilby_jsonfield,No,18,9670,1000,88,36,102,18,84,548
Python,VerbalExpressions_PythonVerbalExpressions,No,8,5125,545,93,3,22,9,13,511
Python,softvar_json2html,No,13,6135,644,60,9,37,14,23,239
Python,antiboredom_audiogrep,No,9,6677,604,44,0,24,10,14,225
Python,scrapy_queuelib,No,15,12662,1387,138,79,91,28,63,1228
Python,socialwifi_jsonapi-requests,No,24,14910,1768,239,110,95,4,91,855
Python,willthames_ansible-inventory-grapher,No,15,10211,1035,128,37,56,7,49,467
Python,joke2k_django-environ,No,23,31778,3245,209,13,111,43,68,922
Python,sacmehta_delight,No,315,404949,40083,2379,370,2008,387,1621,15100
Python,sam31415_timeseriescv,No,8,8529,712,50,11,33,7,26,324
Python,fengsp_sender,No,9,10881,1056,98,18,44,13,31,441
Python,ovh_celery-dyrygent,No,31,25900,2759,211,33,130,12,118,1083
Python,hackebrot_pytest-tricks,No,21,3596,400,58,6,56,8,48,153
Python,initstring_linkedin2username,No,12,9515,869,53,2,43,17,26,288
Python,underyx_flask-redis,No,16,5378,574,55,12,42,10,32,192
Python,solomon-b_greedypacker,No,30,35936,3791,234,55,162,22,140,2064
Python,Matoking_protontricks,No,37,72269,7829,371,39,253,107,146,2188
Python,nschloe_termplotlib,No,19,5555,593,36,14,97,30,67,219
Python,shawn-sterling_graphios,No,9,4892,499,58,10,44,25,19,221
Python,oxan_djangorestframework-dataclasses,No,20,30014,2688,106,114,206,65,141,1515
Python,python-injector_injector,No,9,15552,1579,28,35,36,20,16,445
Python,spulec_freezegun,No,40,27918,2644,60,32,215,86,129,1593
Python,AndrewRPorter_yahoo-historical,No,15,3736,333,44,5,50,15,35,151
Python,7ossam81_EvoloPy,No,64,39267,3694,236,1,326,107,219,1198
Python,tomwojcik_starlette-context,No,54,13805,1787,132,26,558,30,528,640
Python,skorokithakis_shortuuid,No,18,6613,699,75,7,99,37,62,380
Python,scrapy_cssselect,No,12,37587,3466,20,28,66,16,50,1554
C#,securesean_DecryptAutoLogon,No,4,691,86,10,3,7,3,4,24
C#,surajpkhetani_AutoSmuggle,No,6,2690,374,24,5,14,7,7,166
C#,dotnetcore_CanalSharp,No,24,66981,7821,311,66,74,38,36,2221
C#,tigranv_Useful_Examples_C-Sharp,No,127,35303,4794,113,43,373,363,10,1457
C#,utapyngo_icsmanager,No,19,5787,824,35,14,34,22,12,271
C#,VerbalExpressions_CSharpVerbalExpressions,No,24,9663,1433,119,25,69,27,42,531
C#,jchomarat_wttop,No,3,483,76,7,4,5,1,4,36
C#,DevelopersTree_permadelete,No,9,1593,229,19,7,18,13,5,136
C#,Flangvik_SharpDllProxy,No,5,778,150,8,4,10,5,5,51
C#,wzxinchen_BlazAdmin,No,90,19727,3159,144,91,491,391,100,748
C#,EquiFox_KsDumper,No,3,784,110,12,3,5,2,3,60
C#,logangoins_Krueger,No,18,3226,436,31,18,27,9,18,140
C#,auth0-samples_auth0-aspnetcore-webapi-samples,No,11,3670,493,28,10,39,30,9,166
C#,mono_LineEditor,No,5,13095,1651,43,6,22,14,8,473
C#,vkhorikov_AnemicDomainModel,No,62,13624,2214,168,74,179,75,104,784
C#,jdtcn_HybridBlazor,No,5,736,125,14,5,7,3,4,59
C#,overwolf_detection-tool,No,20,7677,893,28,17,29,10,19,316
C#,karpikpl_identity-server4-with-SPA-UI,No,3,966,144,18,3,7,3,4,81
C#,tomrus88_dbcviewer,No,51,53127,6577,187,28,207,180,27,2160
C#,follesoe_VSMonoTouch,No,27,15768,1835,83,29,132,107,25,492
C#,thebookisclosed_ViVe,No,27,25910,3198,65,36,77,43,34,816
C#,hstarorg_TinyPinyin.Net,No,21,128375,2186,59,22,35,18,17,240
C#,SpicyTaco_SpicyTaco.AutoGrid,No,24,17074,1872,79,45,81,56,25,1164
C#,uknowsec_SharpEventLog,No,6,1950,239,17,4,12,8,4,101
C#,dotnet_dotnet-template-samples,No,3,690,113,15,3,4,0,4,58
C#,luis22d_Salnet-Controll,No,9,2124,313,12,7,24,21,3,73
C#,greengerong_Prerender_asp_mvc,No,18,3682,580,30,16,35,19,16,163
C#,microsoft_theme-converter-for-vs,No,50,23505,3185,172,56,176,108,68,1166
C#,cloudscribe_NoDb,No,23,10867,1262,37,22,66,59,7,400
C#,twitchax_AspNetCore.Proxy,No,27,28474,2913,161,46,163,134,29,1116
C#,pbhogan_TinyJSON,No,29,21643,2954,140,35,86,53,33,1129
C#,Cysharp_PrivateProxy,No,31,23792,2747,120,112,144,106,38,1392
C#,OrleansContrib_OrleansTestKit,No,105,44935,5038,259,138,218,16,202,2040
C#,googlesamples_oauth-apps-for-windows,No,14,7572,882,26,9,49,42,7,220
C#,Zalgo2462_VoronoiLib,No,32,21685,2706,128,30,91,63,28,976
C#,Sirithang_UnityObjectTable,No,11,5433,718,25,18,23,11,12,235
C#,ElNinjaGaiden_Dapper.DataRepositories,No,11,3619,544,25,12,35,23,12,145
C#,Wintellect_ProcMonDebugOutput,No,17,9433,467,21,9,47,25,22,125
C#,simonfaltum_AspNetCore.Identity.Dapper,No,32,14164,1705,135,32,113,72,41,746
C#,void-stack_VMUnprotect.Dumper,No,3,1646,241,13,3,10,8,2,92
C#,xoofx_FixedStrings,No,9,12751,1540,64,14,20,11,9,649
C#,kwsch_NLSE,No,3,448,84,11,3,4,0,4,24
C#,CrossGeeks_PushNotificationPlugin,No,6,1131,172,20,6,9,1,8,65
C#,Flangvik_AzureC2Relay,No,3,1120,181,22,3,5,1,4,77
C#,xin-lai_Magicodes.Wx.Sdk,No,297,85599,10413,221,361,681,319,362,1738
C#,ProxyKit_ProxyKit,No,43,22925,3101,160,60,257,198,59,1293
C#,yangzhongke_Zack.EFCore.Batch,No,150,66792,9147,244,92,586,471,115,3701
C#,shiftwinting_FastGithub,No,42,10523,1621,87,42,164,131,33,403
C#,davidfowl_AspNetCoreDiagnosticScenarios,No,3,918,118,13,3,7,3,4,64
C#,WebApiContrib_WebAPIContrib.Core,No,116,41704,5631,285,126,509,435,74,2264
C#,simontime_Brovicon,No,16,14207,1682,42,16,26,9,17,554
C#,davidfowl_Roslyn.Reflection,No,27,18983,2523,169,72,106,89,17,1128
C#,dodopizza_httpclient-resilience-policies,No,31,14866,1715,88,39,161,91,70,632
C#,engindemirog_KampIntro,No,52,6712,1034,49,14,103,91,12,261
C#,jorgevgut_curso_backend_platzi,No,21,4217,571,33,21,65,37,28,151
C#,ricardojoserf_NativeDump,No,6,1207,189,14,7,14,11,3,79
C#,RobThree_NUlid,No,18,25034,2047,94,19,58,41,17,990
C#,kfinley_TypeMerger,No,6,11009,953,50,18,28,20,8,778
C#,shawnwildermuth_RssSyndication,No,18,6449,829,36,17,63,43,20,298
C#,damienbod_AspNetCoreMultipleProject,No,34,16894,2256,124,26,176,132,44,913
C#,PlaneZhong_PESocket,No,23,6425,916,56,17,47,26,21,304
C#,bolorundurowb_shortid,No,8,2500,349,23,8,20,6,14,124
